rank,word,count
1,certainly,679
2,observe,670
3,sword,670
4,concern,668
5,sometimes,665
6,bid,663
7,opinion,660
8,character,660
9,meg,660
10,porthos,656
11,john,655
12,regard,652
13,wrong,650
14,tongue,650
15,attend,647
16,town,645
17,fact,643
18,amy,642
19,able,640
20,age,639
21,sense,639
22,save,636
23,swear,636
24,continue,634
25,hang,634
26,effect,634
27,move,632
28,ear,632
29,allworthy,627
30,gutenberg,626
31,mention,626
32,wind,625
33,prove,625
34,earth,624
35,glad,620
36,except,620
37,fool,620
38,gentle,617
39,land,617
40,deep,615
41,black,614
42,provide,613
43,behind,611
44,virtue,609
45,faith,608
46,kiss,606
47,pardon,606
48,afraid,605
49,sun,605
50,march,605
51,shake,604
52,cold,603
53,hundred,601
54,late,600
55,besides,597
56,neither,597
57,several,595
58,aunt,594
59,force,593
60,view,592
61,particular,591
62,comfort,590
63,free,590
64,window,589
65,object,587
66,suffer,585
67,laurie,585
68,casaubon,585
69,ill,584
70,step,583
71,immediately,583
72,agree,582
73,news,582
74,england,581
75,charge,581
76,serve,579
77,youth,574
78,creature,573
79,devil,573
80,start,572
81,five,572
82,beg,569
83,resolve,569
84,service,567
85,ought,566
86,cut,564
87,fred,564
88,copy,562
89,allow,562
90,perceive,561
91,fight,560
92,passion,559
93,joy,556
94,war,556
95,fit,555
96,common,555
97,ere,554
98,along,553
99,court,552
100,ground,551
