word,count
certainly,679
observe,670
sword,670
concern,668
sometimes,665
bid,663
opinion,660
character,660
meg,660
porthos,656
john,655
regard,652
wrong,650
tongue,650
attend,647
town,645
fact,643
amy,642
able,640
age,639
sense,639
save,636
swear,636
continue,634
hang,634
effect,634
move,632
ear,632
allworthy,627
gutenberg,626
mention,626
wind,625
prove,625
earth,624
glad,620
except,620
fool,620
gentle,617
land,617
deep,615
black,614
provide,613
behind,611
virtue,609
faith,608
kiss,606
pardon,606
afraid,605
sun,605
march,605
shake,604
cold,603
hundred,601
late,600
besides,597
neither,597
several,595
aunt,594
force,593
view,592
particular,591
comfort,590
free,590
window,589
object,587
suffer,585
laurie,585
casaubon,585
ill,584
step,583
immediately,583
agree,582
news,582
england,581
charge,581
serve,579
youth,574
creature,573
devil,573
start,572
five,572
beg,569
resolve,569
service,567
ought,566
cut,564
fred,564
copy,562
allow,562
perceive,561
fight,560
passion,559
joy,556
war,556
fit,555
common,555
ere,554
along,553
court,552
ground,551
aramis,551
english,550
table,548
trouble,548
pity,548
duty,546
arrive,545
dost,541
eat,540
interest,540
electronic,540
conversation,539
different,537
ten,537
boat,536
dress,536
command,536
circumstance,536
drop,534
affection,534
discover,532
lip,531
possible,530
raise,530
assure,530
hair,527
unless,526
story,526
blow,524
respect,523
trust,520
enjoy,519
worthy,519
foundation,517
mazarin,516
sorrow,515
bulstrode,514
rosamond,514
proceed,512
welcome,512
hardly,510
soldier,509
rich,509
unto,509
chance,507
note,507
human,507
hat,506
drive,505
express,503
silence,503
thine,503
notice,500
enemy,500
content,496
deal,494
ring,494
tis,493
france,493
imagine,492
london,491
fill,491
number,491
favour,489
hence,489
sign,489
choose,488
drink,488
majesty,488
bless,487
suddenly,484
third,484
marriage,484
mrs,484
honest,483
reach,482
opportunity,482
oblige,482
page,481
spend,480
maid,478
party,478
street,477
dark,477
cardinal,477
mouth,475
mary,474
wilkins,474
squire,472
brooke,472
evening,471
past,470
proper,468
grief,468
worth,467
shame,466
easy,466
ahab,466
clear,464
french,464
wise,464
beth,462
justice,461
catch,460
reader,460
dream,459
twenty,457
conduct,455
partridge,455
instead,452
wit,452
affair,451
fault,450
pain,450
false,449
knowledge,448
behold,445
public,443
produce,443
plain,442
tender,442
seat,441
early,441
secret,439
heavy,437
pale,437
sooner,437
address,436
surprise,435
line,435
western,434
sorry,433
crown,433
doctor,433
officer,432
bow,431
stranger,431
paper,430
accept,429
guard,429
caesar,429
fancy,427
study,427
lover,427
former,427
proud,424
beat,424
necessary,424
usual,423
fail,423
happiness,423
prepare,423
length,422
forward,421
intend,419
red,416
natural,416
sake,414
henry,413
delight,412
whatever,412
determine,411
wall,411
danger,411
listen,410
acquaint,410
escape,409
illustration,408
teach,408
tone,408
cross,408
presently,408
consequence,405
declare,404
action,403
entirely,403
pride,403
degree,403
darcy,403
contain,401
praise,401
dog,401
excellent,399
hero,399
beautiful,398
society,398
music,397
approach,397
especially,396
field,395
deliver,394
sudden,393
fathom,393
week,392
sad,391
exclaim,391
report,391
piece,390
longer,390
join,390
month,390
buy,387
mistake,387
whilst,387
murder,387
breath,386
moral,386
royal,386
grave,385
endeavour,385
wound,384
copyright,384
conclude,383
star,383
hide,383
wilt,383
dinner,382
strength,382
confess,382
taste,381
brave,381
fee,381
mad,380
wild,380
appearance,380
speech,379
easily,377
advance,376
villain,376
fisher,375
sigh,374
truly,373
measure,373
sing,373
matty,372
george,371
engage,371
instant,371
expression,370
quiet,370
condition,370
weep,370
cheek,369
advantage,368
figure,368
repeat,368
owe,368
deny,367
road,367
fresh,367
beyond,366
perform,366
gold,366
united,365
charm,365
rome,365
suit,365
include,364
effort,364
picture,364
attempt,363
chair,362
burn,361
countenance,361
pause,360
share,360
office,360
fix,359
fast,359
future,357
alice,355
church,353
warm,351
shalt,351
possess,350
winter,350
prevent,350
spite,350
presence,349
flower,349
companion,348
quickly,348
gain,348
obtain,348
cover,347
refuse,345
battle,345
yield,345
carriage,343
impossible,343
satisfy,343
judge,342
clock,342
quick,342
paris,342
attention,341
patience,341
distribute,341
stone,340
loss,340
settle,340
agreeable,339
real,338
garden,338
plan,338
van,338
glass,337
private,337
agreement,337
bennet,337
around,336
seize,336
jane,336
hate,335
sail,335
license,334
finger,334
cast,334
demand,334
glance,333
nearly,332
dance,331
blue,331
hither,331
information,330
health,330
city,330
spring,330
bind,330
green,330
pound,330
forgive,329
leg,329
render,329
grant,327
wake,327
hot,327
shut,327
madame,327
require,326
wood,326
castle,326
afterwards,325
consent,324
gate,323
accord,322
saint,322
pull,322
big,322
ago,321
holy,321
soft,321
deserve,321
toward,320
behaviour,319
travel,319
noise,319
although,319
corner,318
chief,318
evil,317
quit,317
instance,317
deed,317
excuse,316
six,316
base,316
james,315
mercy,315
foul,315
living,314
probably,313
lovely,313
knight,313
affect,313
pleasant,312
equal,312
nice,311
hop,310
farewell,309
utter,308
post,308
direct,307
shadow,307
single,307
straight,307
perfectly,305
support,305
sin,305
conscience,305
tree,304
donation,304
retire,303
mile,303
remove,303
prisoner,303
