rank,word,count
1,say,16700
2,would,10635
3,one,9805
4,make,9430
5,go,9299
6,come,9175
7,know,8083
8,good,7649
9,see,7108
10,shall,6913
11,thou,6794
12,take,6635
13,think,6372
14,like,6281
15,could,6141
16,give,6083
17,well,6061
18,man,5761
19,upon,5737
20,must,5498
21,look,5474
22,may,5390
23,time,5148
24,thy,4908
25,much,4800
26,tell,4608
27,never,4561
28,sir,4555
29,little,4552
30,great,4544
31,love,4429
32,let,4346
33,find,4085
34,u,4002
35,lord,3818
36,yet,3735
37,first,3675
38,king,3578
39,hand,3559
40,lady,3458
41,get,3421
42,day,3416
43,seem,3401
44,thee,3386
45,hear,3381
46,might,3353
47,old,3330
48,though,3311
49,eye,3309
50,enter,3270
51,two,3255
52,leave,3234
53,thing,3160
54,without,3133
55,speak,3117
56,even,2998
57,young,2987
58,friend,2969
59,hath,2903
60,life,2818
61,call,2807
62,long,2764
63,work,2761
64,every,2744
65,way,2717
66,heart,2585
67,ever,2548
68,word,2524
69,poor,2524
70,nothing,2519
71,men,2505
72,many,2502
73,turn,2493
74,dear,2492
75,cry,2475
76,father,2470
77,away,2469
78,part,2436
79,mean,2380
80,place,2350
81,keep,2348
82,mr,2333
83,miss,2314
84,still,2305
85,ask,2300
86,put,2273
87,use,2257
88,last,2212
89,begin,2157
90,stand,2152
91,indeed,2122
92,god,2111
93,bring,2092
94,woman,2089
95,want,2085
96,head,2084
97,scene,2068
98,house,2066
99,mind,2027
100,answer,2025
